Model,Mean Squared Error,Mean Absolute Error,R-squared (R2) Score
Ridge Regression,0.44828420120753665,0.4983951955722052,0.758055291925894
Linear Regression,0.44828860955357486,0.4983995226829543,0.7580529126852417
Decision Tree,0.8190740740740741,0.6284391534391535,0.5579352624761007
Random Forest,0.3807141329365079,0.4302890211640211,0.7945237206555804
